Data, Avg Pool, Max Pool, Smart Pool, Avg Pool (1 layer), Max Pool (1 layer)
No gaussian noise, 6.4991774559021, 6.899555206298828, 5.1899094581604, 5.386036396026611, 5.667505264282227
With gaussian noise, 5.994574546813965, 6.298228740692139, 6.170612335205078, 6.206099987030029, 5.279451847076416
Gaussian noise patches, 5.778070449829102, 5.668732166290283, 4.4731035232543945, 5.207828521728516, 4.923704624176025
